호선,환승역명,환승노선,환승소요시간,소요시간(초),,
5,까치산,2호선,0분14초,14,518,234-4
5,영등포구청,2호선,1분32초,92,523,236
5,신길,1호선,3분22초,202,525,138
5,여의도,9호선,0분57초,57,526,915
5,공덕,6호선,1분1초,61,529,626
5,충정로,2호선,2분57초,177,531,243
5,종로3가,1호선,4분20초,260,534,130
5,종로3가,3호선,1분38초,98,534,329
5,을지로4가,2호선,1분4초,64,535,204
5,동대문역사문화공원,2호선,3분15초,195,536,205
5,동대문역사문화공원,4호선,1분29초,89,536,422
5,청구,6호선,1분27초,87,537,634
5,왕십리,2호선,1분12초,72,540,208
5,군자,7호선,1분3초,63,544,725
5,천호,8호선,0분29초,29,547,811
5,올림픽공원,9호선,1분18초,78,P550,936
5,오금,3호선,0분54초,54,P552,352
6,태릉입구,7호선,0분38초,38,645,717
6,동묘앞,1호선,1분20초,80,636,127
6,신당,2호선,3분22초,202,635,206
6,청구,5호선,1분27초,87,634,537
6,약수,3호선,1분48초,108,633,333
6,삼각지,4호선,2분9초,129,628,428
6,공덕,5호선,1분1초,61,626,529
6,합정,2호선,1분8초,68,622,238
6,불광,3호선,1분23초,83,612,322
6,연신내,3호선,2분31초,151,614,321
7,도봉산,1호선,0분37초,37,710,113
7,노원,4호선,3분52초,232,713,411
7,태릉입구,6호선,0분38초,38,717,645
7,군자,5호선,1분3초,63,725,544
7,건대입구,2호선,1분4초,64,727,212
7,고속터미널,3호선,2분21초,141,734,339
7,고속터미널,9호선,4분22초,262,734,923
7,이수,4호선,2분23초,143,736,432
7,대림,2호선,3분50초,230,744,233
7,가산디지털단지,1호선,1분32초,92,746,P142
7,온수,1호선,1분25초,85,145,750
8,천호,5호선,0분29초,29,811,547
8,석촌,9호선,1분8초,68,815,933
8,잠실,2호선,2분38초,158,814,216
8,가락시장,3호선,0분29초,29,817,350
9,종합운동장,2호선,1분18초,78,930,218
9,석촌,8호선,1분8초,68,933,815
9,올림픽공원,5호선,1분18초,78,936,P550
